region,country,facility,institution,probe,beamline,instrument,technique,priority,official_or_reference_url,gsasii_status,search_status,notes
North America,USA,SSRL,SLAC National Accelerator Laboratory,x-ray,2-1,BL2-1,powder diffraction candidate,2,https://www-ssrl.slac.stanford.edu/,checked_no_public_asset,searched_2026-06-19,
North America,USA,SSRL,SLAC National Accelerator Laboratory,x-ray,11-3,BL11-3,materials diffraction candidate,3,https://www-ssrl.slac.stanford.edu/,checked_no_public_asset,searched_2026-06-19,
North America,USA,ALS,Lawrence Berkeley National Laboratory,x-ray,12.2.2,BL12.2.2,high-pressure diffraction,2,https://als.lbl.gov/beamlines/,checked_no_public_asset,searched_2026-06-19,
North America,USA,ALS,Lawrence Berkeley National Laboratory,x-ray,11.3.1,BL11.3.1,powder diffraction candidate,2,https://als.lbl.gov/beamlines/,checked_no_public_asset,searched_2026-06-19,
North America,USA,CHESS,Cornell High Energy Synchrotron Source,x-ray,ID4B,ID4B,high-energy diffraction candidate,3,https://www.chess.cornell.edu/,checked_no_public_asset,searched_2026-06-19,
North America,Canada,CLS,Canadian Light Source,x-ray,WLE,BXDS/WLE High-Resolution PXRD,powder diffraction,1,https://brockhouse.lightsource.ca/about/low-energy-wiggler-beamline/,advertised_pending_validation,needs_download_url,"Official page advertises BXDS_Huber.instrprm as a GSAS-II instrument parameter file, but download is behind an Atlassian share; direct file URL still needs validation."
Europe,UK,ISIS,Science and Technology Facilities Council,neutron,HRPD,HRPD,high-resolution powder diffraction,1,https://www.isis.stfc.ac.uk/,checked_no_public_asset,searched_2026-06-19,Targeted search found ISIS instrument pages and GSAS-II references but no public .instprm download.
Europe,UK,ISIS,Science and Technology Facilities Council,neutron,GEM,GEM,general materials diffractometer/total scattering,1,https://www.isis.stfc.ac.uk/,checked_no_public_asset,searched_2026-06-19,Targeted search found ISIS instrument pages and GSAS-II references but no public .instprm download.
Europe,UK,ISIS,Science and Technology Facilities Council,neutron,POLARIS,Polaris,powder diffraction,1,https://www.isis.stfc.ac.uk/instruments/polaris/,checked_no_public_asset,searched_2026-06-19,Targeted search found the official instrument page but no public GSAS-II .instprm download.
Europe,UK,ISIS,Science and Technology Facilities Council,neutron,WISH,WISH,magnetic/powder diffraction,2,https://www.isis.stfc.ac.uk/,checked_no_public_asset,searched_2026-06-19,
Europe,UK,ISIS,Science and Technology Facilities Council,neutron,PEARL,PEARL,high-pressure powder diffraction,2,https://www.isis.stfc.ac.uk/,checked_no_public_asset,searched_2026-06-19,
Europe,UK,ISIS,Science and Technology Facilities Council,neutron,ENGIN-X,ENGIN-X,engineering diffraction,2,https://www.isis.stfc.ac.uk/,checked_no_public_asset,searched_2026-06-19,
Europe,UK,Diamond,Diamond Light Source,x-ray,I11,I11,high-resolution powder diffraction,1,https://www.diamond.ac.uk/Instruments/Techniques/Diffraction/PD.html,checked_no_public_asset,searched_2026-06-19,Targeted search found no public GSAS-II .instprm download.
Europe,UK,Diamond,Diamond Light Source,x-ray,I15-1,XPDF,PDF/total scattering,1,https://www.diamond.ac.uk/Instruments/Crystallography/I15-1.html,checked_no_public_asset,searched_2026-06-19,Targeted search found XPDF manuals/pages but no public GSAS-II .instprm download.
Europe,UK,Diamond,Diamond Light Source,x-ray,I12,JEEP,high-energy diffraction/imaging,3,https://www.diamond.ac.uk/Instruments/Engineering-and-Environment/I12.html,checked_no_public_asset,searched_2026-06-19,
Europe,France,ILL,Institut Laue-Langevin,neutron,D1A,D1A,high-resolution powder diffraction,1,https://www.ill.eu/fr/for-ill-users/scientific-groups/diffraction/instruments,checked_no_public_asset,searched_2026-06-19,Targeted search found no public GSAS-II .instprm download.
Europe,France,ILL,Institut Laue-Langevin,neutron,D1B,D1B,high-intensity powder diffraction,1,https://www.ill.eu/en/for-ill-users/instruments/instruments-list/d1b/news/,checked_no_public_asset,searched_2026-06-19,Targeted search found no public GSAS-II .instprm download.
Europe,France,ILL,Institut Laue-Langevin,neutron,D2B,D2B,high-resolution powder diffraction,1,https://www2017.ill.eu/for-ill-users/instruments/instruments-list/d2b/description/instrument-layout,checked_no_public_asset,searched_2026-06-19,Targeted search found no public GSAS-II .instprm download.
Europe,France,ILL,Institut Laue-Langevin,neutron,D20,D20,high-intensity powder diffraction,1,https://www.ill.eu/en/for-ill-users/instruments/instruments-list/d20/,checked_no_public_asset,searched_2026-06-19,Targeted search found official instrument page but no public GSAS-II .instprm download.
Europe,France,ILL,Institut Laue-Langevin,neutron,D4,D4,liquids/amorphous diffraction,2,https://www.ill.eu/fr/for-ill-users/scientific-groups/diffraction/instruments,checked_no_public_asset,searched_2026-06-19,
Europe,France,ESRF,European Synchrotron Radiation Facility,x-ray,ID22,ID22,high-resolution powder diffraction,1,https://www.esrf.fr/,checked_no_public_asset,searched_2026-06-19,Targeted search found official ID22 pages and GSAS-II mentions but no public .instprm download.
Europe,France,ESRF,European Synchrotron Radiation Facility,x-ray,ID15,ID15,high-energy diffraction/PDF candidate,2,https://www.esrf.fr/,checked_no_public_asset,searched_2026-06-19,
Europe,France,ESRF,European Synchrotron Radiation Facility,x-ray,ID31,ID31,legacy powder diffraction,3,https://www.esrf.fr/,checked_no_public_asset,searched_2026-06-19,Legacy beamline; may have old examples only.
Europe,Germany,PETRA III,DESY,x-ray,P02.1,P02.1,powder diffraction/total scattering,1,https://photon-science.desy.de/,checked_no_public_asset,searched_2026-06-19,Targeted search found papers using GSAS-II with instrument files generated from standards but no public reusable .instprm download.
Europe,Germany,PETRA III,DESY,x-ray,P21.1,P21.1,high-energy materials diffraction,2,https://photon-science.desy.de/,checked_no_public_asset,searched_2026-06-19,Targeted search found no public GSAS-II .instprm download.
Europe,Germany,PETRA III,DESY,x-ray,P61B,P61B,energy-dispersive diffraction,2,https://photon-science.desy.de/facilities/petra_iii/beamlines/p61_high_energy_wiggler_beamline_lvp/p61b_large_volume_press_desy/software_tools/index_eng.html,active_download,validated,Official software tools page publishes Instrm_GSAS2_eng.zip containing Ge-SSD_params_P61B.instprm.
Europe,Germany,MLZ,Heinz Maier-Leibnitz Zentrum,neutron,SPODI,SPODI,high-resolution powder diffraction,1,https://mlz-garching.de/,checked_no_public_asset,searched_2026-06-19,
Europe,Germany,MLZ,Heinz Maier-Leibnitz Zentrum,neutron,POWTEX,POWTEX,time-of-flight powder diffraction,1,https://mlz-garching.de/,checked_no_public_asset,searched_2026-06-19,
Europe,Germany,MLZ,Heinz Maier-Leibnitz Zentrum,neutron,STRESS-SPEC,STRESS-SPEC,engineering diffraction,2,https://mlz-garching.de/,checked_no_public_asset,searched_2026-06-19,
Europe,Switzerland,SINQ,Paul Scherrer Institute,neutron,HRPT,HRPT,high-resolution powder diffraction,1,https://www.psi.ch/en/sinq,checked_no_public_asset,searched_2026-06-19,
Europe,Switzerland,SINQ,Paul Scherrer Institute,neutron,DMC,DMC,powder diffraction,1,https://www.psi.ch/en/sinq,checked_no_public_asset,searched_2026-06-19,
Europe,Switzerland,SINQ,Paul Scherrer Institute,neutron,POLDI,POLDI,engineering diffraction,2,https://www.psi.ch/en/sinq,checked_no_public_asset,searched_2026-06-19,
Europe,Switzerland,SLS,Paul Scherrer Institute,x-ray,MS-X04SA,Materials Science beamline,powder diffraction,2,https://www.psi.ch/en/sls,checked_no_public_asset,searched_2026-06-19,
Europe,Spain,ALBA,ALBA Synchrotron,x-ray,BL04,MSPD,materials science/powder diffraction,1,https://www.cells.es/en/beamlines/bl04-mspd,checked_no_public_asset,searched_2026-06-19,
Europe,France,SOLEIL,Synchrotron SOLEIL,x-ray,CRISTAL,CRISTAL,powder/single-crystal diffraction,1,https://www.synchrotron-soleil.fr/en/beamlines/cristal,checked_no_public_asset,searched_2026-06-19,
Europe,France,SOLEIL,Synchrotron SOLEIL,x-ray,PSICHE,PSICHE,high-energy diffraction/tomography,3,https://www.synchrotron-soleil.fr/en/beamlines/psiche,checked_no_public_asset,searched_2026-06-19,
Europe,Italy,Elettra,Elettra Sincrotrone Trieste,x-ray,XRD1,XRD1,powder/single-crystal diffraction,1,https://www.elettra.eu/,checked_no_public_asset,searched_2026-06-19,
Europe,Italy,Elettra,Elettra Sincrotrone Trieste,x-ray,MCX,MCX,powder diffraction,1,https://www.elettra.eu/,checked_no_public_asset,searched_2026-06-19,
Europe,Sweden,MAX IV,MAX IV Laboratory,x-ray,DanMAX,DanMAX,materials diffraction/imaging,2,https://www.maxiv.lu.se/,checked_no_public_asset,searched_2026-06-19,
Europe,Sweden,MAX IV,MAX IV Laboratory,x-ray,ForMAX,ForMAX,materials scattering/diffraction candidate,3,https://www.maxiv.lu.se/,checked_no_public_asset,searched_2026-06-19,
Asia,Japan,J-PARC MLF,J-PARC,neutron,BL08,SuperHRPD,high-resolution powder diffraction,1,https://mlfinfo.jp/en/bl08/,checked_no_public_asset,searched_2026-06-19,Targeted search found official instrument page but no public GSAS-II .instprm download.
Asia,Japan,J-PARC MLF,J-PARC,neutron,BL09,SPICA,special-environment powder diffraction,1,https://mlfinfo.jp/en/blmap.html,checked_no_public_asset,searched_2026-06-19,
Asia,Japan,J-PARC MLF,J-PARC,neutron,BL11,PLANET,high-pressure neutron diffraction,2,https://mlfinfo.jp/en/blmap.html,checked_no_public_asset,searched_2026-06-19,
Asia,Japan,J-PARC MLF,J-PARC,neutron,BL19,TAKUMI,engineering diffraction,2,https://mlfinfo.jp/en/blmap.html,checked_no_public_asset,searched_2026-06-19,
Asia,Japan,J-PARC MLF,J-PARC,neutron,BL20,iMATERIA,materials powder diffraction,1,https://mlfinfo.jp/en/blmap.html,checked_no_public_asset,searched_2026-06-19,Targeted search found no public GSAS-II .instprm download.
Asia,Japan,J-PARC MLF,J-PARC,neutron,BL21,NOVA,total scattering,1,https://mlfinfo.jp/en/blmap.html,checked_no_public_asset,searched_2026-06-19,Targeted search found no public GSAS-II .instprm download.
Asia,Japan,SPring-8,RIKEN/JASRI,x-ray,BL02B2,BL02B2,powder diffraction,1,https://www.spring8.or.jp/en/about_us/whats_sp8/facilities/bl/list/,checked_no_public_asset,searched_2026-06-19,Targeted search found official instrument page but no public GSAS-II .instprm download.
Asia,Japan,SPring-8,RIKEN/JASRI,x-ray,BL04B2,BL04B2,high-energy X-ray diffraction,2,https://www.spring8.or.jp/en/about_us/whats_sp8/facilities/bl/list/,checked_no_public_asset,searched_2026-06-19,
Asia,Japan,SPring-8,RIKEN/JASRI,x-ray,BL13XU,BL13XU,surface/interface diffraction candidate,3,https://www.spring8.or.jp/en/about_us/whats_sp8/facilities/bl/list/,checked_no_public_asset,searched_2026-06-19,
Asia,Japan,SPring-8,RIKEN/JASRI,x-ray,BL19B2,BL19B2,engineering science/powder diffraction candidate,2,https://www.spring8.or.jp/en/about_us/whats_sp8/facilities/bl/list/,checked_no_public_asset,searched_2026-06-19,
Asia,Japan,Photon Factory,KEK,x-ray,BL-8B,BL-8B,powder diffraction candidate,2,https://www2.kek.jp/imss/pf/eng/,checked_no_public_asset,searched_2026-06-19,
Asia,Japan,Photon Factory,KEK,x-ray,BL-4B2,BL-4B2,powder diffraction candidate,2,https://www2.kek.jp/imss/pf/eng/,checked_no_public_asset,searched_2026-06-19,
Oceania,Australia,ANSTO,Australian Nuclear Science and Technology Organisation,neutron,ECHIDNA,ECHIDNA,high-resolution powder diffraction,1,https://www.ansto.gov.au/,checked_no_public_asset,searched_2026-06-19,Targeted search found ANSTO pages and GSAS/GSAS-II analysis references but no public .instprm download.
Oceania,Australia,ANSTO,Australian Nuclear Science and Technology Organisation,neutron,WOMBAT,WOMBAT,high-intensity powder diffraction,1,https://www.ansto.gov.au/,checked_no_public_asset,searched_2026-06-19,Targeted search found official instrument page but no public GSAS-II .instprm download.
Oceania,Australia,ANSTO,Australian Nuclear Science and Technology Organisation,neutron,KOWARI,KOWARI,engineering diffraction,2,https://www.ansto.gov.au/,checked_no_public_asset,searched_2026-06-19,
Oceania,Australia,Australian Synchrotron,ANSTO,x-ray,PD,Powder Diffraction beamline,powder diffraction,1,https://www.ansto.gov.au/research/facilities/australian-synchrotron,checked_no_public_asset,searched_2026-06-19,Targeted search found GSAS-II analysis guidance but no public beamline .instprm download.
Asia,China,CSNS,China Spallation Neutron Source,neutron,GPPD,GPPD,general purpose powder diffraction,1,https://english.ihep.cas.cn/csns/,checked_no_public_asset,searched_2026-06-19,Targeted search found GSAS-II/Rongzai references but no public GPPD .instprm download.
Asia,China,CSNS,China Spallation Neutron Source,neutron,MPI,MPI,multiple physics instrument/diffraction candidate,3,https://english.ihep.cas.cn/csns/,checked_no_public_asset,searched_2026-06-19,
Asia,China,SSRF,Shanghai Synchrotron Radiation Facility,x-ray,BL14B1,BL14B1,X-ray diffraction,2,https://english.sari.cas.cn/,checked_no_public_asset,searched_2026-06-19,
Asia,Korea,HANARO,KAERI,neutron,HRPD,High Resolution Powder Diffractometer,powder diffraction,1,https://www.kaeri.re.kr/,checked_no_public_asset,searched_2026-06-19,
Asia,Korea,PLS-II,Pohang Accelerator Laboratory,x-ray,9B,HRPD candidate,powder diffraction candidate,2,https://pal.postech.ac.kr/,checked_no_public_asset,searched_2026-06-19,
Asia,Taiwan,TPS/TLS,National Synchrotron Radiation Research Center,x-ray,09A,TPS 09A,powder diffraction candidate,2,https://www.nsrrc.org.tw/,checked_no_public_asset,searched_2026-06-19,
Asia,India,Indus-2,Raja Ramanna Centre for Advanced Technology,x-ray,XRD beamline,XRD beamline,powder diffraction candidate,3,https://www.rrcat.gov.in/,checked_no_public_asset,searched_2026-06-19,
South America,Brazil,Sirius,LNLS,x-ray,EMA,EMA,extreme-conditions materials diffraction,2,https://www.lnls.cnpem.br/,checked_no_public_asset,searched_2026-06-19,

